dataset,Model,Params(M),FLOPs(M)
uci,mobilenet_v2,2.188454,12.144896
uci,mobilenet_v3_small,1.477206,3.364792
uci,mobilenet_v3_large,4.138822,11.046616
uci,mnasnet0_5,0.880974,4.466048
uci,mnasnet0_75,1.800342,9.187776
uci,mnasnet1_0,2.984238,14.813952
uci,mnasnet1_3,4.844518,24.318848
uci,shufflenet_v2_x0_5,0.341534,1.744768
uci,shufflenet_v2_x1_0,1.244778,6.751744
uci,shufflenet_v2_x1_5,2.462238,13.719424
uci,shufflenet_v2_x2_0,5.326186,28.52608
uci,resnet18,3.849222,22.107648
uci,resnet34,7.223558,45.045248
uci,resnet50,7.223558,45.045248
uci,resnet101,28.27623,199.907328
uci,resnext50_32x4d,22.042374,142.4896
uci,resnext101_32x8d,79.633158,574.961664
uci,resnext101_64x4d,77.85447,562.477056
uci,squeezenet1_0,0.359782,5.210352
uci,squeezenet1_1,0.356358,3.1692
uci,efficientnet_b0,3.872482,17.649408
uci,efficientnet_b1,6.321478,27.602704
uci,efficientnet_b2,7.492776,32.601984
uci,efficientnet_b3,10.416134,45.899392
uci,efficientnet_b4,17.124974,74.797624
uci,efficientnet_b5,27.777126,119.196768
uci,efficientnet_b6,39.977142,171.283592
uci,efficientnet_b7,62.747286,267.255392
uci,efficientnet_v2_s,19.445758,88.956608
uci,efficientnet_v2_m,51.56061,216.180992
uci,efficientnet_v2_l,114.489542,477.646528
